feature,mean_importance
rolling_hdd_7,-1.4553468044676416e-06
quarter,-9.096185630282084e-07
ponts_extended,-4.027558841990242e-08
below16.5_abc,-3.469446951953614e-18
season_metero,-3.122502256758253e-18
nmonth,-3.122502256758253e-18
type_vol,-3.122502256758253e-18
weekend_winter,-2.7755575615628915e-18
etats,-2.0816681711721684e-18
ponts_publics,-1.734723475976807e-18
below16.5,-1.734723475976807e-18
is_winter,-1.3877787807814458e-18
noel.structural,-1.3877787807814458e-18
season,-1.3877787807814458e-18
hdd_lag14,-6.938893903907229e-19
hdd_lag1,0.0
public_holidays,1.3350390874050655e-08
holidays,1.915355706295918e-08
dow,7.873600916530333e-08
mday,8.942755326327157e-08
lag1_to_lag7_ratio,4.5885305220740027e-07
aout.structural,5.89940780835671e-07
doy,6.851612368758558e-07
pitd_std_3,7.17332043605537e-07
tmoy_lag14,1.0058812700684816e-06
isBizday,1.0210506452459911e-06
season_astrono,1.0597444045298137e-06
hdd_lag2,1.26877555111371e-06
weekend_cold,1.3325461636237712e-06
extended_holidays,1.4059240476586855e-06
ponts_extended_abc,1.5493094794732931e-06
pitd_lag3,2.5482180708660125e-06
tmoy1,2.8687876768174886e-06
not_weekend,2.9082536387749906e-06
days_to_holiday,3.2945291349135293e-06
isHoliday,3.4726062065316977e-06
tmoy2,3.805617918294785e-06
weekend,3.8919680347960365e-06
isWeekday,4.062250656670236e-06
ponts_publics_abc,4.4495473914548524e-06
tmoy_lag1,5.0719111703755034e-06
tmoy_lag7,5.209772708186094e-06
tmoy_lag2,5.227958102712454e-06
woy,5.522682489477945e-06
month,5.927712154349049e-06
isWeekend,7.095054211609872e-06
li_terega,7.318474159657973e-06
sinus,7.820761384254999e-06
pitd_std_14,8.917563185831256e-06
hdd_lag3,9.45990996803099e-06
hdd_lag7,1.0678433939244336e-05
cosinus,1.0986899013393226e-05
pitd_lag2,1.1486447619958943e-05
tmoy_lag3,1.2323232488415172e-05
pitd_ma_7,1.2396528767352408e-05
daydur,1.2945699248380002e-05
weekdays,1.413178235211629e-05
pitd_ma_14,1.604158528566192e-05
pitd_lag14,1.787074567759436e-05
li,2.1225768030235307e-05
pitd_std_7,2.509266156370607e-05
pitd_ewm_7,2.845673029515973e-05
pitd_ewm_14,3.105562125153699e-05
pitd_ma_3,3.525495408346104e-05
wday,4.0222930227949705e-05
year,4.236430089762655e-05
teff_cwv,6.175399262363969e-05
teff_constr,8.375227569723011e-05
teff_optim,0.00019757757922838314
tmoy,0.0002275121992588121
pitd_ewm_3,0.00026490153978939136
temp_mean,0.0003074381415946431
hdd_bizday,0.0005553477254903874
pitd_lag7,0.0006288759260255044
tmoy_diff_1,0.0006948813440748769
hdd,0.0007795845128540788
teff_optim_diff_1,0.0007898973536464626
teff_cwv_diff_1,0.0008858185296887415
teff_constr_diff_1,0.0011278040293840551
pitd_lag1,1.4890523541396097
