feature,mean_importance
pitd_std_14,-6.938893903907229e-19
is_winter,0.0
mday,0.0
weekend_winter,6.938893903907229e-19
tmoy2,6.938893903907229e-19
isBizday,6.938893903907229e-19
doy,6.938893903907229e-19
cosinus,1.3877787807814458e-18
pitd_lag2,1.3877787807814458e-18
below16.5_abc,2.0816681711721684e-18
days_to_holiday,2.0816681711721684e-18
type_vol,2.0816681711721684e-18
extended_holidays,2.0816681711721684e-18
pitd_ewm_7,2.0816681711721684e-18
pitd_ma_14,2.0816681711721684e-18
weekdays,2.0816681711721684e-18
weekend_cold,2.0816681711721684e-18
below16.5,2.0816681711721684e-18
season_metero,2.7755575615628915e-18
weekend,2.7755575615628915e-18
public_holidays,2.7755575615628915e-18
etats,2.7755575615628915e-18
month,2.7755575615628915e-18
pitd_lag7,2.7755575615628915e-18
tmoy_lag14,2.7755575615628915e-18
lag1_to_lag7_ratio,2.7755575615628915e-18
hdd_lag2,2.7755575615628915e-18
season,2.7755575615628915e-18
aout.structural,3.469446951953614e-18
tmoy_lag2,3.469446951953614e-18
pitd_ewm_14,3.469446951953614e-18
li,3.469446951953614e-18
sinus,3.469446951953614e-18
tmoy_diff_1,3.469446951953614e-18
hdd_lag14,4.163336342344337e-18
tmoy_lag7,4.163336342344337e-18
hdd_lag7,4.163336342344337e-18
nmonth,4.163336342344337e-18
year,4.163336342344337e-18
hdd,4.163336342344337e-18
holidays,4.163336342344337e-18
ponts_extended_abc,4.163336342344337e-18
teff_cwv_diff_1,4.163336342344337e-18
dow,4.163336342344337e-18
isWeekend,4.163336342344337e-18
tmoy1,4.8572257327350596e-18
isWeekday,4.8572257327350596e-18
teff_constr_diff_1,4.8572257327350596e-18
rolling_hdd_7,4.8572257327350596e-18
li_terega,4.8572257327350596e-18
hdd_lag1,4.8572257327350596e-18
teff_optim_diff_1,4.8572257327350596e-18
pitd_std_3,4.8572257327350596e-18
noel.structural,4.8572257327350596e-18
pitd_ma_7,4.8572257327350596e-18
woy,5.551115123125783e-18
hdd_lag3,5.551115123125783e-18
ponts_publics_abc,5.551115123125783e-18
daydur,5.551115123125783e-18
ponts_extended,5.551115123125783e-18
pitd_lag3,5.551115123125783e-18
wday,5.551115123125783e-18
pitd_std_7,6.245004513516506e-18
season_astrono,6.245004513516506e-18
not_weekend,6.245004513516506e-18
quarter,6.245004513516506e-18
ponts_publics,6.938893903907228e-18
tmoy_lag3,6.938893903907228e-18
isHoliday,6.938893903907228e-18
pitd_lag14,6.938893903907228e-18
hdd_bizday,1.6981147426898406e-05
tmoy_lag1,8.015904457534182e-05
temp_mean,0.00019660084308493613
pitd_ma_3,0.00036029052436624203
tmoy,0.0004458378643957546
teff_constr,0.0008416829233781224
teff_optim,0.0028954891381216393
pitd_ewm_3,0.03462812771794612
teff_cwv,0.04211258353020515
pitd_lag1,0.77306287156674
