feature,mean_importance
etats,-2.8974781145906654e-05
quarter,-6.384594293940004e-06
mday,-3.775978554627912e-06
is_winter,-3.3258292704813062e-06
holidays,-5.436319754199836e-07
below16.5,-4.6834976850755605e-07
ponts_publics_abc,-2.830660080204578e-07
ponts_publics,-2.7025111859133033e-07
ponts_extended,3.122502256758253e-18
public_holidays,7.160541848523494e-08
weekdays,8.225292654415184e-08
dow,6.381458230463738e-07
extended_holidays,8.03664929368772e-07
ponts_extended_abc,1.8424967942458347e-06
nmonth,4.128364415603714e-06
sinus,5.100215083396823e-06
weekend_cold,5.646558698660722e-06
month,5.7727886258081285e-06
noel.structural,6.3561378110778974e-06
tmoy_lag7,6.752623280667849e-06
tmoy_lag14,7.277265501175884e-06
lag1_to_lag7_ratio,7.610108126761273e-06
hdd_lag14,8.634629383626537e-06
pitd_std_14,9.076615121238196e-06
hdd_lag7,9.758346252268165e-06
weekend_winter,1.297162335476762e-05
woy,1.7569953911303338e-05
days_to_holiday,1.7687255634990866e-05
type_vol,1.8218881483770753e-05
season_astrono,1.8286282008382616e-05
doy,1.9302047849146035e-05
pitd_std_7,2.072918782545681e-05
pitd_std_3,2.2969908246913557e-05
li_terega,3.2812516694754464e-05
tmoy2,3.58174529895474e-05
wday,3.641389050806423e-05
below16.5_abc,3.697873329581436e-05
aout.structural,3.71271408985574e-05
season_metero,3.83480487975138e-05
pitd_lag14,4.4207676095502776e-05
not_weekend,4.9443152967429055e-05
daydur,5.331838981342957e-05
isBizday,5.713098090993074e-05
tmoy_lag3,6.118683290786443e-05
isWeekend,6.317573741312609e-05
isWeekday,7.36014974436653e-05
season,7.794386706084754e-05
isHoliday,7.89384698999803e-05
weekend,8.561289082328893e-05
hdd_lag3,9.307371016600078e-05
tmoy_diff_1,9.768213545617056e-05
cosinus,0.00010414272967582752
tmoy1,0.0001454138789384187
tmoy_lag2,0.0001479448530074333
hdd_lag2,0.00016093863468295
pitd_ma_14,0.00017153788553460198
pitd_lag7,0.00017224421166303072
teff_optim_diff_1,0.00019631638159059163
li,0.0002673365507815686
teff_constr_diff_1,0.0002673846339275858
teff_cwv_diff_1,0.0002889330545291658
tmoy_lag1,0.00041279780202022574
pitd_lag3,0.0004198124583550601
hdd_bizday,0.0006398190417842592
year,0.0009400278663828629
pitd_ewm_14,0.0009635465390670329
hdd_lag1,0.0010450922381309764
rolling_hdd_7,0.001072208766522561
pitd_ma_7,0.0011327576715551388
pitd_lag2,0.003062561589185774
teff_cwv,0.003389695010620932
teff_constr,0.003847714874356047
temp_mean,0.0039021183360075317
tmoy,0.0045532597821692725
hdd,0.004715781592861142
pitd_ewm_7,0.0047309331501540096
teff_optim,0.005142564207087118
pitd_ma_3,0.0055937455098872355
pitd_ewm_3,0.01777470080664434
pitd_lag1,0.0655611500261495
