feature,mean_importance
tmoy_lag1,-4.311307680192923e-05
pitd_lag2,-4.20450338586547e-05
hdd_lag1,-2.6118301396832466e-05
rolling_hdd_7,-2.289365623698962e-05
weekend_cold,-4.899823605377176e-06
type_vol,-3.8237466271604655e-06
noel.structural,-1.8708728249341999e-06
nmonth,-5.85136776801512e-07
season_astrono,-2.0339337190276864e-07
ponts_extended,-6.938893903907229e-19
is_winter,-6.938893903907229e-19
below16.5_abc,-3.4694469519536144e-19
tmoy_lag7,3.4694469519536144e-19
holidays,3.4694469519536144e-19
public_holidays,3.4694469519536144e-19
below16.5,3.4694469519536144e-19
weekend_winter,3.4694469519536144e-19
mday,1.734723475976807e-18
dow,1.734723475976807e-18
ponts_publics,2.0816681711721684e-18
quarter,2.0816681711721684e-18
pitd_std_3,2.0816681711721684e-18
weekdays,2.8894310714691616e-07
aout.structural,3.769419457063522e-07
season,4.925411097415899e-07
season_metero,5.229625804393373e-07
ponts_publics_abc,6.310227567609544e-07
tmoy_lag2,6.977463806411705e-07
tmoy_lag14,8.534043930735064e-07
hdd_lag3,1.8324501190072201e-06
ponts_extended_abc,2.0142029600375005e-06
tmoy2,2.9913476930286396e-06
hdd_lag2,3.2050974131222348e-06
tmoy1,3.664933506582896e-06
etats,3.7560459668933845e-06
doy,5.001199009343344e-06
weekend,5.006841081139912e-06
pitd_std_7,5.054627177737692e-06
extended_holidays,5.39600175140896e-06
lag1_to_lag7_ratio,5.6456689221256325e-06
sinus,5.805806310640871e-06
hdd_lag14,5.95513126494529e-06
isHoliday,8.961779870527222e-06
li_terega,9.392400596000549e-06
tmoy_lag3,9.512627668779861e-06
pitd_lag3,9.80797424763903e-06
isWeekday,9.900652066434715e-06
not_weekend,9.90354885232539e-06
isBizday,1.08201087821648e-05
isWeekend,1.107306737827378e-05
hdd_lag7,1.2904761776028061e-05
pitd_ewm_14,1.2950827301248456e-05
woy,1.3050761922716106e-05
pitd_std_14,1.397389223141976e-05
days_to_holiday,1.4376315933086956e-05
wday,1.4752274245890402e-05
month,1.6850087682553082e-05
pitd_ma_14,3.245181421902624e-05
daydur,3.390669616695381e-05
pitd_lag14,4.989210732934297e-05
cosinus,6.059762871256716e-05
pitd_ma_7,6.0935923789947816e-05
year,0.00010658964107336105
li,0.00011525215141504133
pitd_ewm_7,0.00013243323383797453
tmoy_diff_1,0.00023498849135040052
pitd_ma_3,0.0002758361421626842
teff_optim_diff_1,0.0002839649649128601
hdd_bizday,0.00042799242575421723
pitd_lag7,0.0004665142754127667
temp_mean,0.0004757302542232365
tmoy,0.00047724865601452075
hdd,0.0005878858102180689
teff_constr_diff_1,0.0006315093259289809
teff_cwv_diff_1,0.0006345623501721586
teff_optim,0.002432932966366735
teff_constr,0.0028314805230533245
pitd_ewm_3,0.01705700618641989
teff_cwv,0.018993089895741812
pitd_lag1,0.6154791608456713
