Learner 1,counter
0.0286849311922171,0
0.0267794723452296,0
0.0117975512954769,0
0.0105426778121225,0
0.009669885385163,0
0.0075857717866011,0
0.0059693400430129,0
0.0059102717969935,0
0.0057683130536886,0
0.0047537201587304,0
0.0046043365378298,0
0.0042936147075131,0
0.0042315844515237,0
0.0036999099963623,0
0.0034660735232352,0
0.00313599448304,0
0.0031238755347408,0
0.0029770193053164,0
0.0028381143115751,0
0.0026495907274134,0
0.0025935020215096,0
0.0025237934920251,0
0.0021638880483606,0
0.0019831332065952,0
0.0019349239682371,0
0.0018481695473041,0
0.0018007034820406,0
0.0017739257557499,0
0.0016126124184879,0
0.0015959428742358,0
0.0015764824919071,0
0.0014973506707826,0
0.0013924551306914,0
0.0012158140221087,0
0.0008542913443776,0
0.0008405942189872,0
0.0008295835996071,0
0.0007828623612053,0
0.0006961507271517,0
0.0006740607988547,0
0.0006538122085565,0
0.0006470112342469,0
0.0006260039018794,0
0.0005075825025949,0
0.0004967547062895,0
0.0004546321489528,0
0.0004508068783538,0
0.0004253637335444,0
0.0004223015795591,0
0.0004216872721659,0
0.0003491996415262,0
0.0003197011816636,0
0.0003182331808163,0
0.0002687119745623,0
0.0002279336458135,0
0.0001911682801498,0
0.0001882240798836,0
0.0001874241614799,0
0.0001551219087202,0
0.0001346481076698,0
0.0001200334951944,0
9.955200146693385e-05,0
9.669901200855291e-05,0
8.542617503975793e-05,0
8.467707031588125e-05,0
7.631366600816606e-05,0
7.276028243200922e-05,0
6.885494035785907e-05,0
6.081860655471373e-05,0
5.37664757907506e-05,0
5.040655721861888e-05,0
4.4638640325896095e-05,0
4.1606054189846296e-05,0
3.211451270004051e-05,0
2.6061142090681723e-05,0
2.4373276153781542e-05,0
2.227905973178641e-05,0
1.8003172986380025e-05,0
1.7559274647176332e-05,0
1.7508440751892383e-05,0
1.2666873598740462e-05,0
9.365625323159469e-06,0
8.040457032555335e-06,0
1.5970774340302516e-06,0
0.0,1
0.0,1
-1.18894403489285e-07,1
-2.192460723570572e-06,1
-9.828427643920716e-06,1
-1.012055235656735e-05,1
-4.609385762567638e-05,1
