feature,mean_importance
sinus,-6.533570791378927e-05
ponts_extended_abc,-2.7025126867189808e-05
teff_cwv_diff_1,-2.6459744928518032e-05
tmoy1,-2.4852969222689467e-05
pitd_std_3,-1.639392993476197e-05
hdd_lag2,-1.3615768507527561e-05
extended_holidays,-8.567523240024868e-06
month,-5.8838708089906445e-06
nmonth,-5.5819306253767496e-06
pitd_std_14,-4.245019456461906e-06
hdd_lag14,-3.5026520149819553e-06
season_astrono,-1.5549899645504045e-06
weekend_winter,-1.439391095234277e-06
public_holidays,-5.084095785862566e-07
holidays,-2.149193865456575e-07
days_to_holiday,-8.991413750700228e-08
not_weekend,0.0
type_vol,0.0
ponts_extended,0.0
below16.5_abc,0.0
below16.5,0.0
isWeekend,0.0
isBizday,0.0
isHoliday,0.0
weekend,0.0
quarter,0.0
is_winter,0.0
dow,0.0
tmoy,0.0
season_metero,7.146720849133398e-07
tmoy_lag2,1.509938612035723e-06
tmoy_lag1,2.05404332572455e-06
woy,2.1174394611628634e-06
season,3.5964123156243326e-06
ponts_publics,4.1676412333260455e-06
pitd_lag3,4.813132332692934e-06
aout.structural,7.125156790704738e-06
hdd_lag1,7.933684856764252e-06
teff_constr,1.0606040346542584e-05
tmoy_lag14,1.526660044889917e-05
weekend_cold,1.7142843864989198e-05
tmoy_lag3,2.541668588910799e-05
etats,2.7286740389688946e-05
rolling_hdd_7,3.096022999570947e-05
tmoy2,3.2367312826093836e-05
lag1_to_lag7_ratio,3.8736312602754076e-05
pitd_ma_3,3.9708801482488294e-05
pitd_ma_14,4.1755632086531644e-05
pitd_std_7,4.317834906948856e-05
mday,4.334378602061113e-05
hdd_lag3,4.415186259229629e-05
daydur,5.016120404835421e-05
pitd_ewm_7,5.4935627141674063e-05
weekdays,6.250734990574433e-05
ponts_publics_abc,6.489219250414377e-05
doy,8.1516822228829e-05
li_terega,8.284930585000256e-05
noel.structural,8.530913252713935e-05
pitd_lag2,8.729240853269041e-05
teff_optim_diff_1,8.912619425704497e-05
hdd_lag7,9.29798971597482e-05
tmoy_lag7,9.698631364707613e-05
isWeekday,0.00012234555971334105
pitd_ma_7,0.00016095037410568635
pitd_ewm_3,0.0002576958064110698
pitd_lag7,0.00029247679878625606
tmoy_diff_1,0.0003107106829991121
pitd_ewm_14,0.00035746369411168656
pitd_lag14,0.00044023400363946244
cosinus,0.0004571952521527561
teff_optim,0.00047197719004304743
li,0.0007944314631408289
year,0.0008340446457504069
teff_cwv,0.0008623146054828419
wday,0.0009302389034185491
teff_constr_diff_1,0.0013258912232195505
hdd_bizday,0.001566819093198453
hdd,0.002042488746921435
temp_mean,0.006465044084561925
pitd_lag1,1.1831311155693154
