feature,mean_importance
tmoy,-0.00013713573855981005
tmoy_lag3,-5.57278603866538e-05
extended_holidays,-3.312781451630369e-05
hdd_lag1,-2.11884434006571e-05
hdd_lag3,-2.0776516648994026e-05
nmonth,-6.68774266960534e-06
tmoy_lag1,-5.0531902470422534e-06
weekend_winter,-3.8541661677070346e-06
tmoy_lag7,-7.955532534270615e-07
isHoliday,-2.926176732129249e-07
season_metero,-1.5915184011817962e-07
is_winter,0.0
weekend,0.0
below16.5_abc,0.0
noel.structural,0.0
not_weekend,0.0
below16.5,0.0
quarter,1.7477405964989172e-07
days_to_holiday,5.995872465724625e-07
ponts_publics,1.6104327939551674e-06
type_vol,1.829884718510498e-06
season,2.1993624257124826e-06
ponts_extended_abc,3.6959068230665513e-06
public_holidays,3.929607727796297e-06
hdd_lag2,4.819414417995757e-06
season_astrono,6.10471826074984e-06
etats,6.696426171737095e-06
aout.structural,7.704093191604825e-06
isBizday,8.400433269245728e-06
month,8.417947223898075e-06
isWeekend,8.788068855855418e-06
tmoy_lag2,1.275532726966004e-05
holidays,1.2879679920725814e-05
weekend_cold,2.0835981893562242e-05
ponts_extended,2.1521244176917786e-05
pitd_std_14,2.153191892503119e-05
tmoy_lag14,2.163494961903243e-05
dow,2.4158959297741583e-05
pitd_std_3,2.485158790212893e-05
woy,2.7599552561555046e-05
tmoy2,3.6012304220981245e-05
pitd_ma_14,3.7275073088756555e-05
doy,4.0495482535357616e-05
weekdays,4.492827030793192e-05
rolling_hdd_7,4.6233499404135615e-05
pitd_lag2,5.2267444453552026e-05
hdd_lag7,5.886434175723914e-05
tmoy1,5.9324894515871975e-05
daydur,6.238592989573858e-05
hdd_lag14,6.470975612709179e-05
pitd_std_7,6.481550003832395e-05
pitd_lag3,8.889772818821348e-05
sinus,9.347989272471252e-05
mday,9.796352804880334e-05
li_terega,9.92513392006943e-05
pitd_ma_3,0.00011598563129684071
lag1_to_lag7_ratio,0.00012650239625206297
teff_optim_diff_1,0.00013879660589442584
pitd_lag14,0.00014805324876705268
isWeekday,0.00015140553209736212
ponts_publics_abc,0.00016183043614077087
pitd_ewm_7,0.00022896880694430155
pitd_ma_7,0.00028267609113435277
teff_cwv_diff_1,0.0002942434838893495
pitd_ewm_14,0.000322917298839364
cosinus,0.000349208240009442
teff_optim,0.00034985214058109933
tmoy_diff_1,0.00036486937961078164
teff_constr,0.00037534795821062266
pitd_ewm_3,0.0003822631270079428
pitd_lag7,0.0004576764216374145
li,0.00048412272541139173
hdd,0.0006969658813527291
year,0.0007834378636273071
hdd_bizday,0.0012969961656477966
teff_constr_diff_1,0.0014429052074920513
wday,0.0018144022424577077
temp_mean,0.0031805654056386774
teff_cwv,0.006569417070909192
pitd_lag1,1.0255377505342358
